Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi-1000-7-10/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 20:11:15.178276: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 000 Default Step Loss 0.613710, Argument Step Loss 6.286915, Term: 0.967742, Prog: 0.096774, A0: 0.300000, A1: 0.620000, A2: 0.98
Epoch 01 Step 001 Default Step Loss 0.542732, Argument Step Loss 5.711569, Term: 0.981481, Prog: 0.129630, A0: 0.295455, A1: 0.704545, A2: 1.0
Epoch 01 Step 002 Default Step Loss 0.350373, Argument Step Loss 2.631230, Term: 0.982759, Prog: 0.120690, A0: 0.276596, A1: 0.680851, A2: 1.0
Epoch 01 Step 003 Default Step Loss 0.321165, Argument Step Loss 2.372830, Term: 0.980000, Prog: 0.140000, A0: 0.268293, A1: 0.731707, A2: 1.0
Epoch 01 Step 004 Default Step Loss 0.327872, Argument Step Loss 2.396203, Term: 0.981481, Prog: 0.407407, A0: 0.318182, A1: 0.727273, A2: 1.0
Epoch 01 Step 005 Default Step Loss 0.324110, Argument Step Loss 2.410461, Term: 0.981481, Prog: 0.629630, A0: 0.272727, A1: 0.727273, A2: 1.0
Epoch 01 Step 006 Default Step Loss 0.319901, Argument Step Loss 2.358691, Term: 0.981481, Prog: 0.629630, A0: 0.318182, A1: 0.704545, A2: 1.0
Epoch 01 Step 007 Default Step Loss 0.313883, Argument Step Loss 2.366999, Term: 0.981481, Prog: 0.629630, A0: 0.295455, A1: 0.704545, A2: 1.0
Epoch 01 Step 008 Default Step Loss 0.324846, Argument Step Loss 2.214730, Term: 0.983871, Prog: 0.612903, A0: 0.320000, A1: 0.680000, A2: 1.0
Epoch 01 Step 009 Default Step Loss 0.285929, Argument Step Loss 2.239053, Term: 0.980000, Prog: 0.640000, A0: 0.268293, A1: 0.731707, A2: 1.0
Epoch 01 Step 010 Default Step Loss 0.291848, Argument Step Loss 2.187457, Term: 0.981481, Prog: 0.629630, A0: 0.318182, A1: 0.727273, A2: 1.0
