Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 04:52:28.040075: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 000 Term Loss -0.173287, Default Loss -79.578476, Reward 0.900000
Epoch 01 Step 001 Term Loss -0.173241, Default Loss -79.578476, Reward -13.000000
Epoch 01 Step 002 Term Loss -0.173243, Default Loss -79.578484, Reward -13.000000
Epoch 01 Step 003 Term Loss -0.173264, Default Loss -79.578484, Reward -13.000000
Epoch 01 Step 004 Term Loss -0.173284, Default Loss -79.578476, Reward 0.800000
Epoch 01 Step 005 Term Loss -0.173280, Default Loss -79.578476, Reward 0.900000
Epoch 01 Step 006 Term Loss -0.173284, Default Loss -79.578468, Reward 0.900000
Epoch 01 Step 007 Term Loss -0.173286, Default Loss -79.578476, Reward 0.800000
Epoch 01 Step 008 Term Loss -0.173270, Default Loss -79.578468, Reward -13.000000
Epoch 01 Step 009 Term Loss -0.173264, Default Loss -79.578461, Reward -13.000000
Epoch 01 Step 010 Term Loss -0.173265, Default Loss -79.578468, Reward -13.000000
Epoch 01 Step 011 Term Loss -0.173274, Default Loss -79.578468, Reward -13.000000
Epoch 01 Step 012 Term Loss -0.173287, Default Loss -79.578461, Reward 0.800000
Epoch 01 Step 013 Term Loss -0.173283, Default Loss -79.578453, Reward 0.800000
Epoch 01 Step 014 Term Loss -0.173284, Default Loss -79.578461, Reward 0.800000
Epoch 01 Step 015 Term Loss -0.173282, Default Loss -79.578461, Reward -13.000000
Epoch 01 Step 016 Term Loss -0.173282, Default Loss -79.578453, Reward -13.000000
