Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi-1000-3-10/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 20:08:26.754313: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 000 Default Step Loss 0.610796, Argument Step Loss 6.307837, Term: 0.961538, Prog: 0.192308, A0: 0.238095, A1: 0.666667, A2: 1.0
Epoch 01 Step 001 Default Step Loss 0.609576, Argument Step Loss 6.293782, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.714286, A2: 1.0
Epoch 01 Step 002 Default Step Loss 0.573182, Argument Step Loss 6.334747, Term: 0.954545, Prog: 0.636364, A0: 0.277778, A1: 0.722222, A2: 1.0
Epoch 01 Step 003 Default Step Loss 0.556679, Argument Step Loss 6.091340, Term: 0.954545, Prog: 0.636364, A0: 0.277778, A1: 0.777778, A2: 1.0
Epoch 01 Step 004 Default Step Loss 0.484511, Argument Step Loss 4.345045, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.714286, A2: 1.0
Epoch 01 Step 005 Default Step Loss 0.356168, Argument Step Loss 2.347043, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.761905, A2: 1.0
Epoch 01 Step 006 Default Step Loss 0.348061, Argument Step Loss 2.580730, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.666667, A2: 1.0
Epoch 01 Step 007 Default Step Loss 0.347528, Argument Step Loss 2.565037, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.666667, A2: 1.0
Epoch 01 Step 008 Default Step Loss 0.347228, Argument Step Loss 2.483230, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.666667, A2: 1.0
Epoch 01 Step 009 Default Step Loss 0.297919, Argument Step Loss 2.438476, Term: 0.944444, Prog: 0.666667, A0: 0.200000, A1: 0.800000, A2: 1.0
Epoch 01 Step 010 Default Step Loss 0.345270, Argument Step Loss 2.497052, Term: 0.961538, Prog: 0.615385, A0: 0.333333, A1: 0.666667, A2: 1.0
Epoch 01 Step 011 Default Step Loss 0.324343, Argument Step Loss 2.489954, Term: 0.954545, Prog: 0.636364, A0: 0.277778, A1: 0.722222, A2: 1.0
Epoch 01 Step 012 Default Step Loss 0.295083, Argument Step Loss 2.609042, Term: 0.944444, Prog: 0.666667, A0: 0.333333, A1: 0.800000, A2: 1.0
Epoch 01 Step 013 Default Step Loss 0.293204, Argument Step Loss 2.464729, Term: 0.944444, Prog: 0.666667, A0: 0.400000, A1: 0.800000, A2: 1.0
Epoch 01 Step 014 Default Step Loss 0.340999, Argument Step Loss 2.383783, Term: 0.961538, Prog: 0.615385, A0: 0.285714, A1: 0.666667, A2: 1.0
Epoch 01 Step 015 Default Step Loss 0.319111, Argument Step Loss 2.509247, Term: 0.954545, Prog: 0.636364, A0: 0.333333, A1: 0.722222, A2: 1.0
Epoch 01 Step 016 Default Step Loss 0.337448, Argument Step Loss 2.438309, Term: 0.961538, Prog: 0.615385, A0: 0.285714, A1: 0.666667, A2: 1.0
Epoch 01 Step 017 Default Step Loss 0.284410, Argument Step Loss 2.228614, Term: 0.944444, Prog: 0.666667, A0: 0.400000, A1: 0.800000, A2: 1.0
Epoch 01 Step 018 Default Step Loss 0.334222, Argument Step Loss 2.409066, Term: 0.961538, Prog: 0.615385, A0: 0.285714, A1: 0.666667, A2: 1.0
