Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /Users/Jerry/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 15:08:56.364695: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 034 Default Step Loss 0.223450, Argument Step Loss 1.749728, Term: 0.986111, Prog: 0.638889, A0: 0.559322, A1: 0.728814, A2: 1.0
Epoch 01 Step 035 Default Step Loss 0.222856, Argument Step Loss 1.744008, Term: 0.986111, Prog: 0.638889, A0: 0.559322, A1: 0.728814, A2: 1.0
Epoch 01 Step 036 Default Step Loss 0.253867, Argument Step Loss 1.798483, Term: 0.987500, Prog: 0.625000, A0: 0.523077, A1: 0.723077, A2: 1.0
Epoch 01 Step 037 Default Step Loss 0.235488, Argument Step Loss 1.742438, Term: 0.986842, Prog: 0.631579, A0: 0.532258, A1: 0.725806, A2: 1.0
Epoch 01 Step 038 Default Step Loss 0.258557, Argument Step Loss 1.769803, Term: 0.988095, Prog: 0.619048, A0: 0.500000, A1: 0.720588, A2: 1.0
Epoch 01 Step 039 Default Step Loss 0.230095, Argument Step Loss 1.703338, Term: 0.986842, Prog: 0.631579, A0: 0.532258, A1: 0.741935, A2: 1.0
Epoch 01 Step 040 Default Step Loss 0.180990, Argument Step Loss 1.572653, Term: 0.984375, Prog: 0.656250, A0: 0.584906, A1: 0.773585, A2: 1.0
Epoch 01 Step 041 Default Step Loss 0.211396, Argument Step Loss 1.642817, Term: 0.986111, Prog: 0.638889, A0: 0.542373, A1: 0.728814, A2: 1.0
Epoch 01 Step 042 Default Step Loss 0.237909, Argument Step Loss 1.690893, Term: 0.987500, Prog: 0.625000, A0: 0.538462, A1: 0.723077, A2: 1.0
Epoch 01 Step 043 Default Step Loss 0.194354, Argument Step Loss 1.570993, Term: 0.985294, Prog: 0.647059, A0: 0.589286, A1: 0.750000, A2: 1.0
Epoch 01 Step 044 Default Step Loss 0.242722, Argument Step Loss 1.682058, Term: 0.987500, Prog: 0.625000, A0: 0.553846, A1: 0.707692, A2: 1.0
Epoch 01 Step 045 Default Step Loss 0.227272, Argument Step Loss 1.617193, Term: 0.986842, Prog: 0.631579, A0: 0.580645, A1: 0.709677, A2: 1.0
Epoch 01 Step 046 Default Step Loss 0.266006, Argument Step Loss 1.744726, Term: 0.989130, Prog: 0.608696, A0: 0.513514, A1: 0.675676, A2: 1.0
