Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 03:50:27.693340: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 068 Term Loss -0.172964, Default Loss -79.140892, Reward 0.900000
Epoch 01 Step 069 Term Loss -0.172989, Default Loss -79.140862, Reward 0.900000
Epoch 01 Step 070 Term Loss -0.173016, Default Loss -79.140839, Reward -13.000000
Epoch 01 Step 071 Term Loss -0.173054, Default Loss -79.140808, Reward -13.000000
Epoch 01 Step 072 Term Loss -0.172941, Default Loss -79.140762, Reward 0.900000
Epoch 01 Step 073 Term Loss -0.172961, Default Loss -79.140732, Reward 0.900000
Epoch 01 Step 074 Term Loss -0.173042, Default Loss -79.140717, Reward -13.000000
Epoch 01 Step 075 Term Loss -0.173080, Default Loss -79.140686, Reward -13.000000
Epoch 01 Step 076 Term Loss -0.172910, Default Loss -79.140640, Reward 0.900000
Epoch 01 Step 077 Term Loss -0.172935, Default Loss -79.140617, Reward 0.900000
Epoch 01 Step 078 Term Loss -0.173075, Default Loss -79.140579, Reward -13.000000
Epoch 01 Step 079 Term Loss -0.173112, Default Loss -79.140564, Reward -13.000000
Epoch 01 Step 080 Term Loss -0.172882, Default Loss -79.140518, Reward 0.900000
Epoch 01 Step 081 Term Loss -0.172902, Default Loss -79.140488, Reward 0.900000
Epoch 01 Step 082 Term Loss -0.173106, Default Loss -79.140472, Reward -13.000000
Epoch 01 Step 083 Term Loss -0.173145, Default Loss -79.140434, Reward -13.000000
Epoch 01 Step 084 Term Loss -0.172848, Default Loss -79.140404, Reward 0.900000
Epoch 01 Step 085 Term Loss -0.172871, Default Loss -79.140381, Reward 0.900000
Epoch 01 Step 086 Term Loss -0.173142, Default Loss -79.140350, Reward -13.000000
Epoch 01 Step 087 Term Loss -0.173180, Default Loss -79.140312, Reward -13.000000
Epoch 01 Step 088 Term Loss -0.172812, Default Loss -79.140289, Reward 0.900000
Epoch 01 Step 089 Term Loss -0.172833, Default Loss -79.140251, Reward 0.900000
Epoch 01 Step 090 Term Loss -0.173178, Default Loss -79.140236, Reward -13.000000
Epoch 01 Step 091 Term Loss -0.173215, Default Loss -79.140198, Reward -13.000000
Epoch 01 Step 092 Term Loss -0.172775, Default Loss -79.140175, Reward 0.900000
Epoch 01 Step 093 Term Loss -0.172797, Default Loss -79.140137, Reward 0.900000
Epoch 01 Step 094 Term Loss -0.173218, Default Loss -79.140121, Reward -13.000000
Epoch 01 Step 095 Term Loss -0.173256, Default Loss -79.140083, Reward -13.000000
Epoch 01 Step 096 Term Loss -0.172735, Default Loss -79.140053, Reward 0.900000
Epoch 01 Step 097 Term Loss -0.172757, Default Loss -79.140038, Reward 0.900000
Epoch 01 Step 098 Term Loss -0.173259, Default Loss -79.140007, Reward -13.000000
Epoch 01 Step 099 Term Loss -0.173276, Default Loss -79.139984, Reward 0.900000
Epoch 01 Step 100 Term Loss -0.172793, Default Loss -79.139954, Reward -13.000000
Epoch 01 Step 101 Term Loss -0.172882, Default Loss -79.139931, Reward -13.000000
Epoch 01 Step 102 Term Loss -0.173067, Default Loss -79.139893, Reward 0.900000
Epoch 01 Step 103 Term Loss -0.173051, Default Loss -79.139870, Reward 0.900000
Epoch 01 Step 104 Term Loss -0.172996, Default Loss -79.139854, Reward -13.000000
Epoch 01 Step 105 Term Loss -0.173065, Default Loss -79.139809, Reward -13.000000
Epoch 01 Step 106 Term Loss -0.172902, Default Loss -79.139793, Reward 0.900000
Epoch 01 Step 107 Term Loss -0.172897, Default Loss -79.139763, Reward 0.900000
Epoch 01 Step 108 Term Loss -0.173138, Default Loss -79.139740, Reward -13.000000
Epoch 01 Step 109 Term Loss -0.173198, Default Loss -79.139709, Reward -13.000000
Epoch 01 Step 110 Term Loss -0.172780, Default Loss -79.139687, Reward 0.900000
Epoch 01 Step 111 Term Loss -0.172786, Default Loss -79.139656, Reward 0.900000
Epoch 01 Step 112 Term Loss -0.173243, Default Loss -79.139641, Reward -13.000000
Epoch 01 Step 113 Term Loss -0.173276, Default Loss -79.139603, Reward 0.900000
Epoch 01 Step 114 Term Loss -0.172802, Default Loss -79.139587, Reward -13.000000
Epoch 01 Step 115 Term Loss -0.172898, Default Loss -79.139549, Reward -13.000000
Epoch 01 Step 116 Term Loss -0.173044, Default Loss -79.139526, Reward 0.900000
Epoch 01 Step 117 Term Loss -0.173019, Default Loss -79.139496, Reward 0.900000
Epoch 01 Step 118 Term Loss -0.173035, Default Loss -79.139473, Reward -13.000000
Epoch 01 Step 119 Term Loss -0.173114, Default Loss -79.139458, Reward -13.000000
Epoch 01 Step 120 Term Loss -0.172852, Default Loss -79.139427, Reward 0.900000
Epoch 01 Step 121 Term Loss -0.172840, Default Loss -79.139397, Reward 0.900000
Epoch 01 Step 122 Term Loss -0.173202, Default Loss -79.139381, Reward -13.000000
Epoch 01 Step 123 Term Loss -0.173264, Default Loss -79.139351, Reward -13.000000
Epoch 01 Step 124 Term Loss -0.172709, Default Loss -79.139320, Reward 0.900000
Epoch 01 Step 125 Term Loss -0.172711, Default Loss -79.139290, Reward 0.900000
Epoch 01 Step 126 Term Loss -0.173251, Default Loss -79.139282, Reward 0.900000
