Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi-1000-5-10/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 20:10:05.530966: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 034 Default Step Loss 0.261040, Argument Step Loss 2.002132, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 035 Default Step Loss 0.254836, Argument Step Loss 1.966716, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 036 Default Step Loss 0.292903, Argument Step Loss 1.999905, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.741935, A2: 1.0
Epoch 01 Step 037 Default Step Loss 0.286489, Argument Step Loss 2.060693, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.709677, A2: 1.0
Epoch 01 Step 038 Default Step Loss 0.254112, Argument Step Loss 1.973845, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 039 Default Step Loss 0.210040, Argument Step Loss 1.906833, Term: 0.966667, Prog: 0.666667, A0: 0.440000, A1: 0.800000, A2: 1.0
Epoch 01 Step 040 Default Step Loss 0.256225, Argument Step Loss 1.969828, Term: 0.970588, Prog: 0.647059, A0: 0.428571, A1: 0.750000, A2: 1.0
Epoch 01 Step 041 Default Step Loss 0.252058, Argument Step Loss 1.970065, Term: 0.970588, Prog: 0.647059, A0: 0.428571, A1: 0.750000, A2: 1.0
Epoch 01 Step 042 Default Step Loss 0.317342, Argument Step Loss 2.033448, Term: 0.976190, Prog: 0.619048, A0: 0.382353, A1: 0.705882, A2: 1.0
Epoch 01 Step 043 Default Step Loss 0.334353, Argument Step Loss 2.021959, Term: 0.978261, Prog: 0.608696, A0: 0.378378, A1: 0.675676, A2: 1.0
Epoch 01 Step 044 Default Step Loss 0.244016, Argument Step Loss 1.985801, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 045 Default Step Loss 0.282506, Argument Step Loss 2.001886, Term: 0.973684, Prog: 0.631579, A0: 0.354839, A1: 0.709677, A2: 1.0
Epoch 01 Step 046 Default Step Loss 0.280471, Argument Step Loss 1.985790, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.709677, A2: 1.0
Epoch 01 Step 047 Default Step Loss 0.202712, Argument Step Loss 1.866412, Term: 0.966667, Prog: 0.666667, A0: 0.400000, A1: 0.800000, A2: 1.0
Epoch 01 Step 048 Default Step Loss 0.245651, Argument Step Loss 1.888736, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.785714, A2: 1.0
Epoch 01 Step 049 Default Step Loss 0.277457, Argument Step Loss 2.020698, Term: 0.973684, Prog: 0.631579, A0: 0.451613, A1: 0.741935, A2: 1.0
Epoch 01 Step 050 Default Step Loss 0.240186, Argument Step Loss 1.944536, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 051 Default Step Loss 0.277831, Argument Step Loss 1.965554, Term: 0.973684, Prog: 0.631579, A0: 0.483871, A1: 0.741935, A2: 1.0
Epoch 01 Step 052 Default Step Loss 0.300750, Argument Step Loss 1.982033, Term: 0.976190, Prog: 0.619048, A0: 0.411765, A1: 0.676471, A2: 1.0
Epoch 01 Step 053 Default Step Loss 0.298436, Argument Step Loss 1.959976, Term: 0.976190, Prog: 0.619048, A0: 0.294118, A1: 0.676471, A2: 1.0
Epoch 01 Step 054 Default Step Loss 0.316592, Argument Step Loss 2.002542, Term: 0.978261, Prog: 0.608696, A0: 0.324324, A1: 0.648649, A2: 1.0
Epoch 01 Step 055 Default Step Loss 0.237411, Argument Step Loss 1.902417, Term: 0.970588, Prog: 0.647059, A0: 0.500000, A1: 0.750000, A2: 1.0
Epoch 01 Step 056 Default Step Loss 0.295549, Argument Step Loss 1.946533, Term: 0.976190, Prog: 0.619048, A0: 0.441176, A1: 0.676471, A2: 1.0
Epoch 01 Step 057 Default Step Loss 0.267183, Argument Step Loss 1.924017, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 058 Default Step Loss 0.189997, Argument Step Loss 1.862202, Term: 0.966667, Prog: 0.666667, A0: 0.560000, A1: 0.800000, A2: 1.0
Epoch 01 Step 059 Default Step Loss 0.264160, Argument Step Loss 1.900691, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.709677, A2: 1.0
Epoch 01 Step 060 Default Step Loss 0.234454, Argument Step Loss 1.824477, Term: 0.970588, Prog: 0.647059, A0: 0.428571, A1: 0.785714, A2: 1.0
Epoch 01 Step 061 Default Step Loss 0.287504, Argument Step Loss 1.922527, Term: 0.976190, Prog: 0.619048, A0: 0.470588, A1: 0.705882, A2: 1.0
Epoch 01 Step 062 Default Step Loss 0.286179, Argument Step Loss 1.909174, Term: 0.976190, Prog: 0.619048, A0: 0.500000, A1: 0.676471, A2: 1.0
Epoch 01 Step 063 Default Step Loss 0.260737, Argument Step Loss 1.861695, Term: 0.973684, Prog: 0.631579, A0: 0.451613, A1: 0.741935, A2: 1.0
Epoch 01 Step 064 Default Step Loss 0.184135, Argument Step Loss 1.788305, Term: 0.966667, Prog: 0.666667, A0: 0.440000, A1: 0.800000, A2: 1.0
Epoch 01 Step 065 Default Step Loss 0.286448, Argument Step Loss 1.911633, Term: 0.976190, Prog: 0.619048, A0: 0.441176, A1: 0.735294, A2: 1.0
Epoch 01 Step 066 Default Step Loss 0.252860, Argument Step Loss 1.910102, Term: 0.973684, Prog: 0.631579, A0: 0.580645, A1: 0.709677, A2: 1.0
Epoch 01 Step 067 Default Step Loss 0.252109, Argument Step Loss 1.837338, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.709677, A2: 1.0
Epoch 01 Step 068 Default Step Loss 0.276428, Argument Step Loss 1.830860, Term: 0.976190, Prog: 0.619048, A0: 0.470588, A1: 0.676471, A2: 1.0
Epoch 01 Step 069 Default Step Loss 0.254973, Argument Step Loss 1.840708, Term: 0.973684, Prog: 0.631579, A0: 0.483871, A1: 0.741935, A2: 1.0
Epoch 01 Step 070 Default Step Loss 0.223703, Argument Step Loss 1.795903, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.785714, A2: 1.0
Epoch 01 Step 071 Default Step Loss 0.219937, Argument Step Loss 1.765269, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 072 Default Step Loss 0.273631, Argument Step Loss 1.833619, Term: 0.976190, Prog: 0.619048, A0: 0.441176, A1: 0.676471, A2: 1.0
Epoch 01 Step 073 Default Step Loss 0.250916, Argument Step Loss 1.761956, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.741935, A2: 1.0
Epoch 01 Step 074 Default Step Loss 0.250899, Argument Step Loss 1.712129, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 075 Default Step Loss 0.215105, Argument Step Loss 1.673820, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 076 Default Step Loss 0.178576, Argument Step Loss 1.537597, Term: 0.966667, Prog: 0.666667, A0: 0.600000, A1: 0.800000, A2: 1.0
Epoch 01 Step 077 Default Step Loss 0.249989, Argument Step Loss 1.750351, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 078 Default Step Loss 0.248428, Argument Step Loss 1.722324, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 079 Default Step Loss 0.251357, Argument Step Loss 1.766067, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.774194, A2: 1.0
Epoch 01 Step 080 Default Step Loss 0.208145, Argument Step Loss 1.651276, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 081 Default Step Loss 0.261423, Argument Step Loss 1.796154, Term: 0.976190, Prog: 0.619048, A0: 0.441176, A1: 0.676471, A2: 1.0
Epoch 01 Step 082 Default Step Loss 0.238069, Argument Step Loss 1.707293, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 083 Default Step Loss 0.210176, Argument Step Loss 1.631112, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 084 Default Step Loss 0.209624, Argument Step Loss 1.589987, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 085 Default Step Loss 0.261065, Argument Step Loss 1.752449, Term: 0.976190, Prog: 0.619048, A0: 0.441176, A1: 0.676471, A2: 1.0
Epoch 01 Step 086 Default Step Loss 0.209421, Argument Step Loss 1.612121, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.750000, A2: 1.0
Epoch 01 Step 087 Default Step Loss 0.247046, Argument Step Loss 1.699183, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.709677, A2: 1.0
Epoch 01 Step 088 Default Step Loss 0.236079, Argument Step Loss 1.650932, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 089 Default Step Loss 0.237142, Argument Step Loss 1.660641, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.709677, A2: 1.0
Epoch 01 Step 090 Default Step Loss 0.217876, Argument Step Loss 1.618513, Term: 0.964286, Prog: 0.642857, A0: 0.565217, A1: 0.739130, A2: 1.0
Epoch 01 Step 091 Default Step Loss 0.244293, Argument Step Loss 1.681872, Term: 0.973684, Prog: 0.631579, A0: 0.516129, A1: 0.741935, A2: 1.0
Epoch 01 Step 092 Default Step Loss 0.249972, Argument Step Loss 1.640840, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.741935, A2: 1.0
Epoch 01 Step 093 Default Step Loss 0.206719, Argument Step Loss 1.592789, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.750000, A2: 1.0
Epoch 01 Step 094 Default Step Loss 0.203714, Argument Step Loss 1.545699, Term: 0.970588, Prog: 0.647059, A0: 0.571429, A1: 0.750000, A2: 1.0
Epoch 01 Step 095 Default Step Loss 0.234377, Argument Step Loss 1.600836, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.806452, A2: 1.0
Epoch 01 Step 096 Default Step Loss 0.277761, Argument Step Loss 1.728518, Term: 0.978261, Prog: 0.608696, A0: 0.513514, A1: 0.648649, A2: 1.0
Epoch 01 Step 097 Default Step Loss 0.235929, Argument Step Loss 1.631245, Term: 0.973684, Prog: 0.631579, A0: 0.548387, A1: 0.741935, A2: 1.0
Epoch 01 Step 098 Default Step Loss 0.244494, Argument Step Loss 1.667302, Term: 0.973684, Prog: 0.631579, A0: 0.483871, A1: 0.741935, A2: 1.0
Epoch 01 Step 099 Default Step Loss 0.242220, Argument Step Loss 1.625278, Term: 0.973684, Prog: 0.631579, A0: 0.483871, A1: 0.741935, A2: 1.0
